kanji,count
周,347
砂,346
百,346
扱,344
領,344
戸,342
草,342
帽,341
再,341
荷,338
評,338
毛,337
善,336
為,334
境,332
誤,332
混,331
浮,331
右,331
検,330
将,330
暖,330
府,329
異,329
片,329
賞,328
軽,327
島,326
響,325
営,325
抱,325
門,324
象,323
忠,323
乳,321
歴,320
泊,320
介,319
比,318
型,318
鹿,317
精,316
極,315
専,315
造,315
街,314
惑,313
因,313
米,313
貴,313
復,313
傘,313
短,312
勢,312
机,311
左,311
防,310
卵,310
叔,309
恥,309
細,307
史,307
脱,307
汚,305
障,305
易,304
更,304
像,302
黙,300
低,300
挙,299
程,298
掃,298
則,297
姿,297
床,296
庫,296
魔,296
厳,295
植,295
派,295
齢,294
飼,293
千,292
賢,291
未,291
額,290
筆,290
頂,290
節,289
敬,289
裏,289
聴,286
騒,285
弱,285
昇,284
固,284
枚,283
基,282
算,282
税,282
橋,282
油,281
虫,280
森,279
競,278
囲,277
尊,277
届,276
尋,276
慮,276
勇,276
触,274
卒,273
団,273
並,272
装,271
延,271
課,270
描,270
劇,270
順,270
吹,270
策,268
頑,268
被,267
骨,267
農,266
積,266
否,265
酔,264
湖,264
涙,264
率,264
泥,264
軍,264
儀,263
郵,263
況,263
染,262
換,261
洋,261
企,261
雇,260
角,258
改,257
詳,257
尽,257
芸,255
域,255
捨,255
移,254
替,254
養,253
般,251
釣,251
冗,250
棒,250
甘,248
奇,246
壁,246
冊,245
鉄,245
御,244
屈,244
奴,244
律,243
撮,241
怪,241
西,241
環,240
快,240
燃,240
兵,240
講,239
損,239
械,238
喫,237
翻,237
暴,235
救,235
舎,232
匹,232
偶,232
陸,231
診,231
携,230
八,230
災,229
趣,229
述,228
誘,227
避,227
免,225
糖,225
博,224
停,224
奥,223
微,223
端,223
倍,223
整,223
塩,222
県,220
句,220
攻,220
菜,219
協,218
滅,218
偉,218
鏡,218
嬉,218
浴,217
区,216
耐,216
悔,216
患,215
補,213
録,213
皿,213
詞,212
裕,211
乱,210
鼻,209
毒,208
爆,208
氷,208
包,207
展,206
誌,206
巻,205
秋,205
捜,204
沈,204
材,204
久,204
症,203
蔵,203
就,202
印,202
阪,201
逆,201
宝,200
怠,200
南,200
刑,200
紹,200
呂,199
妙,199
鉛,199
宙,199
池,198
及,198
胸,197
贈,196
希,196
玉,196
級,195
委,195
香,194
宇,194
肩,194
輸,193
眼,193
益,192
札,192
緊,191
致,191
濯,190
貯,189
丸,189
叫,188
源,188
管,188
績,188
波,187
踊,187
超,186
導,186
雲,186
符,186
圧,185
航,185
祝,185
乏,184
締,183
幼,182
標,182
州,181
党,181
丘,181
穴,180
看,180
郎,180
裁,179
紅,179
伸,179
辛,178
討,178
詰,178
噂,178
祭,178
六,178
塗,178
模,177
隊,176
嵐,176
群,176
担,175
刺,175
悩,175
輪,174
握,174
底,173
盛,173
療,173
版,173
椅,173
棚,172
豊,172
条,172
含,171
岸,171
皮,170
筋,170
袋,169
陰,169
腰,169
愚,167
販,167
志,167
恵,165
跡,165
賃,164
傾,164
属,164
抗,164
催,164
衣,163
魅,163
築,163
革,163
誇,163
奪,162
児,162
季,162
霊,161
紀,161
九,161
柄,159
承,159
凍,159
各,159
狂,159
劣,159
臭,159
銃,158
干,157
芝,156
栄,155
瓶,154
納,154
章,153
召,153
総,152
拠,152
廃,152
粉,151
株,151
憶,151
板,151
奮,151
罰,150
緑,150
購,150
載,149
七,149
継,149
麗,148
城,146
瞬,146
駐,146
狭,145
照,145
測,145
己,144
幾,144
請,144
歓,144
遺,143
訴,143
預,142
薄,142
履,142
典,142
貨,141
推,141
奏,141
腐,141
了,140
施,139
遂,139
輝,138
沢,137
依,136
創,135
酸,135
羽,135
漢,135
鮮,134
駆,134
票,134
華,134
飽,133
林,133
仮,133
複,132
睡,132
契,132
拒,132
採,132
丁,132
券,131
稼,131
祈,131
厚,131
概,130
批,130
襲,129
編,129
郷,129
永,127
眺,126
寺,126
織,126
